[INFO] [1778710800.233708087] [centerline_scan_node]: ================================
[INFO] [1778710800.241492468] [centerline_scan_node]: CENTERLINE SCAN NODE STARTED
[INFO] [1778710800.257497628] [centerline_scan_node]: Route: 1L, 2R, 3L, 4R, 5L, 6R, 7L, 8R, then exit aisle
[INFO] [1778710800.271666129] [centerline_scan_node]: Centerline x=0.0, scan rows y=-3,-1,1,3
[INFO] [1778710800.280143219] [centerline_scan_node]: ================================
[INFO] [1778710800.287436592] [centerline_scan_node]: Waiting for /odom...
[INFO] [1778710800.393060163] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710800.486374699] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710800.586398687] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710800.696527756] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710800.792319997] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710800.888075017] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710800.986403478] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710801.104949163] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710801.188037288] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710801.297648749] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710801.391973917] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.023691921] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.086117812] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.187110831] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.291669086] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.394079594] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.487343520] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.587359030] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.689520481] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.792555478] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710802.892316943] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.000494761] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.092997028] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.190354334] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.291676623] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.392800591] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.486613584] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.586772867] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.696702664] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.784839374] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710803.885807137] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.001651610] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.241671660] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.294104332] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.339868609] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.388151446] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.496861913] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.591297900] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.693112976] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.793067428] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
[INFO] [1778710804.890858892] [centerline_scan_node]: Mode=ALIGN_AISLE | x=-0.00, y=0.00, yaw=-0.00
